seq,date,sza,x_max,t_apo,disposition,fail_reason,fgm_pts,fpi_pts,dp_median,dp_cv,bz_median,dens_median,dens_cv,bmag_range
1,2015-11-12,18,11.4,08:57,primary,,230397,3200,1.1,0.15,-1.5,10.218360900878906,0.45,0-44
2,2015-11-19,12,11.7,08:12,fail,data_coverage_fail (FPI),230397,,,,,,,0-70
3,2015-11-26,7,11.9,07:26,fail,no_sustained_gradient,230397,3199,1.7,0.05,2.0,56.553585052490234,,1-34
4,2015-12-05,6,12.0,06:26,fail,no_sustained_gradient,230397,3200,2.5,0.13,1.2,34.63857650756836,,7-51
5,2015-12-12,11,11.8,05:40,primary,,230397,3200,2.0,0.12,-0.9,12.574231624603271,0.35,0-64
6,2015-12-19,17,11.5,04:53,fail,no_sustained_gradient,230397,3200,1.2,0.14,-1.2,21.079307556152344,,0-42
7,2016-12-12,18,11.4,11:01,fail,no_sustained_gradient,230397,3200,2.4,0.17,2.2,22.839879035949707,,0-59
8,2016-12-19,12,11.8,10:13,fail,no_sustained_gradient,230397,3200,1.1,0.1,-2.4,18.166911125183105,,11-47
9,2016-12-26,6,11.9,09:24,primary,,230396,3200,2.6,0.15,-0.4,13.63528060913086,0.47,0-76
10,2017-01-05,7,11.9,08:15,reserve,,230397,3200,2.6,0.36,2.8,19.702027320861816,0.44,0-65
11,2017-01-12,13,11.7,07:27,fail,no_sustained_gradient,230397,3200,1.5,0.08,0.6,23.8841609954834,,1-44
