eid,probe,date,sza,Dn,EB,delta_beta,dp,bz,ma,cone_deg,clock_deg,cone_regime,clock_group,upstream_stable,dp_cv,near_occ,bg_occ,membership,phase6a_status
usable_aug18_6h,thd,2008-08-18,21.90241312157474,0.12001949122994032,2.4908736388392647,-10.05197397078184,4.25,0.33000001311302185,11.199999809265137,30.7,114.8,intermediate,60-120,True,0.11,0.15779731605738084,0.4835724201758445,0.8625636279500232,retained
usable_sep03_5h,thd,2008-09-03,14.94170612548039,2.872074188849876,0.7987800719455945,2.0552287419482167,3.690000057220459,0.5099999904632568,5.900000095367432,56.2,86.9,intermediate,60-120,True,0.11,0.18489727928928373,0.20988339811215992,1.0,retained
cand4a_sep19_08_the,the,2008-09-19,15.303125252871302,0.7633405571457952,2.123776267039553,-23.670503371538018,2.7699999809265137,-1.8200000524520874,21.100000381469727,64.2,168.8,perpendicular,>120,True,0.04,0.11614993058769088,0.2882924571957427,0.8403516890328552,retained
usable_sep13_09_6h,thd,2009-09-13,16.854829658579376,0.39143058110095547,1.9578970353395935,-6.768458523454145,3.140000104904175,-1.350000023841858,9.399999618530273,61.2,134.8,perpendicular,>120,True,0.09,0.17445627024525684,0.4701527070800555,0.995835261453031,retained
usable_sep20_09_6h,thd,2009-09-20,10.354556709816986,0.9693232711122137,1.477257901135367,-3.1300908722630676,3.0199999809265137,1.4199999570846558,10.899999618530273,70.0,89.9,perpendicular,60-120,True,0.13,0.0939379916705229,0.46321147616844055,0.998149005090236,retained
usable_sep26_09_10h,thd,2009-09-26,4.437938308725805,0.9396782544199754,1.9584111578299215,-12.8395208767332,3.0449999570846558,0.8500000238418579,15.050000190734863,84.6,91.6,perpendicular,60-120,True,0.13,0.18356012218828102,0.40377672868647596,0.9791724520966398,retained
usable_sep27_09_10h,thd,2009-09-27,3.771417620192071,1.312998970292889,1.2270425340109807,-4.150929924818676,3.119999885559082,-1.7100000381469727,20.600000381469727,56.6,120.4,intermediate,>120,True,0.05,0.15662316023326853,0.5726187170230491,0.9566787003610109,retained
usable_oct24_09_6h,thd,2009-10-24,20.44724042867935,2.186213247717596,4.222805439981495,-3.416902368927686,4.230000019073486,-0.5,11.199999809265137,86.4,81.3,perpendicular,60-120,True,0.13,0.13975011568718185,0.6487737158722814,0.981952799629801,retained
cand4a_oct23_10_thd,thd,2010-10-23,14.364954874592891,1.2992488601594572,1.0221207916354609,1.070193172306542,3.109999895095825,2.1500000953674316,8.699999809265137,35.0,0.6,intermediate,<60,True,0.15,0.08514576584914392,0.01850994909763998,0.998611753817677,retained
pilot_001,thd,2012-07-15,0.0,0.9492659742938881,1.0541819874929006,-2.0506657239599254e-11,2.0,2.0,8.0,41.0,163.7,intermediate,>120,True,0.16,0.16,0.20333333333333334,1.0,retained
pilot_002,the,2013-02-20,0.0,0.9492659742938881,1.0541819874929006,-2.0506657239599254e-11,2.0,2.0,8.0,32.9,34.2,intermediate,<60,True,0.12,0.16,0.20333333333333334,1.0,retained
